date,sol,hnt,jto,jup,kmno,mplx,orca,ray,mnde,drift
"August 12, 2025","94,446,838,456.52","531,523,533.14","650,983,542.28","1,513,920,002.86","131,183,748.54","147,349,517.23","150,824,482.07","846,304,996.22","47,581,702.35","342,003,783.72"
"August 11, 2025","98,680,797,069.32","567,429,940.28","694,683,019.06","1,622,492,664.05","136,570,922.86","153,742,575.73","158,469,024.74","915,013,310.69","49,751,697.50","355,594,783.76"
"August 10, 2025","97,273,757,979.30","576,758,325.20","679,840,171.68","1,599,086,759.28","136,789,334.84","154,443,594.05","163,732,175.34","813,576,234.93","50,432,484.11","355,594,184.10"
"August 9, 2025","95,358,552,408.14","547,797,408.46","659,643,133.39","1,526,179,063.03","131,325,366.04","153,205,302.20","172,035,936.87","771,820,295.39","50,537,863.20","354,828,324.05"
"August 8, 2025","94,555,506,562.21","534,918,615.16","648,371,581.58","1,523,395,583.61","129,302,515.33","152,438,314.01","143,350,877.52","760,412,892.96","47,825,736.22","326,915,980.39"
"August 7, 2025","90,602,300,378.90","514,068,054.26","605,724,934.04","1,453,471,939.55","124,923,143.78","145,762,706.90","129,479,500.84","715,042,833.07","44,539,537.57","307,290,810.72"
"August 6, 2025","88,366,756,321.07","499,365,879.53","597,449,322.48","1,423,054,900.74","123,356,037.71","143,553,188.59","126,552,084.95","702,604,715.48","40,283,990.16","175,310,019.31"
"August 5, 2025","91,187,068,515.65","536,002,660.99","614,258,089.97","1,489,105,373.37","129,371,660.58","144,427,790.23","130,622,236.59","746,679,592.27","39,623,744.28","183,968,964.46"
"August 4, 2025","87,127,911,992.52","520,845,250.22","617,415,309.64","1,429,940,711.05","123,393,695.42","141,512,381.84","126,822,844.93","689,335,322.10","39,430,668.13","176,615,077.09"
"August 3, 2025","85,419,275,441.37","514,389,392.23","589,077,581.09","1,346,382,420.24","119,015,913.02","135,497,529.25","123,348,475.11","666,555,296.49","38,371,440.13","170,708,389.14"
"August 2, 2025","87,608,862,241.10","529,023,625.13","603,723,715.51","1,381,602,874.54","123,472,024.30","135,021,543.42","126,941,696.80","695,565,160","40,120,780.32","175,425,487.01"
"August 1, 2025","92,708,865,239.70","558,978,795.86","604,774,993.49","1,477,960,089.80","126,869,139.87","140,914,811.76","132,468,886.79","737,482,726.77","43,795,441.55","181,231,047.39"
"July 31, 2025","95,607,702,499.41","592,148,398.67","656,329,134.56","1,561,488,757.29","138,576,577.82","144,360,905.65","143,127,585.61","782,074,713.65","44,997,780.79","189,458,545.68"
"July 30, 2025","97,454,126,235.83","601,091,414.80","687,340,657.66","1,611,869,949.49","138,207,278.19","144,230,933.24","148,734,393.18","810,233,840.14","47,313,567.76","195,474,204.21"
"July 29, 2025","98,532,622,033.56","645,031,938.70","682,699,299.97","1,634,244,822.60","137,161,932.52","144,485,895.19","146,748,373.66","831,514,162.24","47,564,209.28","195,112,373.46"
"July 28, 2025","101,416,340,780.41","656,450,157.06","723,593,494.34","1,770,168,131.09","144,924,256.66","149,554,631.94","153,443,862.64","832,583,723.05","49,095,624.02","211,244,271.42"
"July 27, 2025","99,537,260,340.73","629,399,435.51","712,930,836.66","1,667,572,472.80","142,932,179.04","137,826,435.74","151,733,797.35","807,989,190.37","49,185,063.37","205,536,546.22"
"July 26, 2025","100,191,430,260.79","628,281,564.84","705,513,586.28","1,657,278,859.41","143,863,094.53","147,774,131.65","147,073,108.32","804,364,236.88","49,197,014.22","206,117,342.99"
"July 25, 2025","98,288,901,831.99","620,155,657.05","702,286,063.13","1,621,163,359.70","141,250,791.43","146,954,812.56","145,152,703.11","812,356,092.91","45,415,764.92","201,299,156.46"
"July 24, 2025","102,009,512,597.67","637,359,114.60","720,196,174.21","1,737,017,713.72","143,123,877.68","131,109,268.88","154,764,692.73","842,395,399.44","45,189,882.39","204,878,721.28"
"July 23, 2025","110,388,822,982.47","704,909,058.58","789,824,401.03","1,897,964,606.98","163,797,807.45","133,505,916.86","163,917,382.86","915,861,185.93","48,717,758.33","224,033,517.69"
"July 22, 2025","105,726,477,497.22","706,792,998.51","775,474,527.79","1,840,449,803.31","162,868,560.57","137,310,612.07","168,581,283.19","863,144,864.62","48,466,568.26","237,830,481.82"
