date,sol,hnt,jto,jup,kmno,mplx,orca,ray,mnde,drift
"August 12, 2025",192.05,2.95,1.92,0.53,0.057,0.19,2.6,3.3,0.12,0.58
"August 11, 2025",175.02,2.86,1.79,0.49,0.052,0.18,2.52,3.15,0.11,0.55
"August 10, 2025",182.88,3.05,1.91,0.53,0.054,0.19,2.65,3.43,0.11,0.57
"August 9, 2025",180.26,3.1,1.87,0.52,0.054,0.19,2.75,3.03,0.12,0.58
"August 8, 2025",176.85,2.95,1.82,0.5,0.052,0.18,2.88,2.88,0.12,0.57
"August 7, 2025",175.29,2.88,1.79,0.5,0.052,0.18,2.4,2.84,0.11,0.53
"August 6, 2025",167.95,2.76,1.67,0.48,0.05,0.18,2.16,2.67,0.1,0.5
"August 5, 2025",164.09,2.68,1.65,0.47,0.05,0.17,2.11,2.62,0.092,0.5
"August 4, 2025",169.39,2.88,1.7,0.49,0.052,0.17,2.18,2.79,0.091,0.53
"August 3, 2025",161.9,2.8,1.71,0.47,0.05,0.17,2.11,2.57,0.09,0.51
"August 2, 2025",158.36,2.76,1.63,0.44,0.048,0.16,2.05,2.49,0.088,0.49
"August 1, 2025",162.8,2.82,1.68,0.45,0.05,0.16,2.12,2.59,0.092,0.5
"July 31, 2025",172.22,3.01,1.68,0.48,0.052,0.17,2.21,2.75,0.1,0.52
"July 30, 2025",177.67,3.18,1.83,0.52,0.057,0.17,2.38,2.92,0.1,0.55
"July 29, 2025",181.27,3.24,1.92,0.54,0.057,0.17,2.49,3.03,0.11,0.56
"July 28, 2025",182.65,3.48,1.9,0.54,0.057,0.17,2.44,3.11,0.11,0.56
"July 27, 2025",188.7,3.53,2.03,0.59,0.06,0.18,2.56,3.11,0.11,0.61
"July 26, 2025",184.97,3.39,1.99,0.55,0.059,0.17,2.52,3.02,0.11,0.6
"July 25, 2025",186.65,3.41,1.97,0.55,0.06,0.18,2.46,3.02,0.11,0.6
"July 24, 2025",182.95,3.35,1.97,0.54,0.059,0.18,2.42,3.04,0.11,0.58
"July 23, 2025",189.54,3.45,2.02,0.58,0.06,0.16,2.58,3.15,0.11,0.59
"July 22, 2025",205.54,3.8,2.22,0.63,0.069,0.16,2.74,3.43,0.12,0.65
"July 21, 2025",196.08,3.8,2.18,0.61,0.069,0.17,2.81,3.23,0.12,0.69
"July 20, 2025",181.3,3.92,2.05,0.56,0.065,0.16,2.58,2.91,0.11,0.51
"July 19, 2025",176.97,3.77,1.94,0.55,0.063,0.16,2.46,2.8,0.11,0.49
"July 18, 2025",177.4,3.8,1.93,0.53,0.064,0.17,2.46,2.85,0.11,0.48
"July 17, 2025",175.77,3.46,1.94,0.55,0.063,0.18,2.56,2.93,0.11,0.5
"July 16, 2025",173.75,3.22,1.96,0.54,0.063,0.17,2.55,2.98,0.11,0.47
"July 15, 2025",163.92,3.11,1.91,0.51,0.061,0.15,2.6,2.91,0.11,0.46
"July 14, 2025",162.29,2.98,1.89,0.5,0.059,0.15,2.46,2.81,0.12,0.47
"July 13, 2025",161.26,3.13,1.91,0.5,0.061,0.14,2.29,2.77,0.12,0.47
"July 12, 2025",160.69,3.08,1.89,0.47,0.059,0.14,2.16,2.64,0.12,0.44
"July 11, 2025",162.88,2.89,1.94,0.49,0.061,0.14,2.2,2.69,0.12,0.44
"July 10, 2025",163.9,2.61,1.96,0.48,0.062,0.14,2.22,2.7,0.13,0.42
"July 9, 2025",157.27,2.39,1.92,0.45,0.058,0.13,2.06,2.49,0.13,0.4
"July 8, 2025",151.78,2.34,1.86,0.43,0.055,0.11,1.96,2.3,0.12,0.39
"July 7, 2025",148.84,2.45,1.87,0.44,0.056,0.1,1.93,2.15,0.12,0.39
"July 6, 2025",151.94,2.3,1.94,0.45,0.057,0.1,1.97,2.16,0.13,0.4
"July 5, 2025",147.59,2.24,1.99,0.44,0.058,0.11,1.94,2.08,0.12,0.41
"July 4, 2025",147.78,2.22,2.02,0.43,0.058,0.11,1.9,2.06,0.12,0.4
"July 3, 2025",152.39,2.27,2.12,0.46,0.061,0.11,2.02,2.17,0.13,0.39
"July 2, 2025",152.23,2.29,2.18,0.45,0.062,0.12,2.02,2.14,0.13,0.39
"July 1, 2025",146.9,2.18,2.05,0.42,0.058,0.11,1.84,2.03,0.12,0.37
"June 30, 2025",154.81,2.26,2.23,0.46,0.06,0.12,1.97,2.13,0.13,0.38
"June 29, 2025",153.32,2.39,2.26,0.47,0.062,0.12,2.03,2.19,0.15,0.43
"June 28, 2025",150.79,2.32,2.25,0.45,0.06,0.12,1.95,2.09,0.15,0.39
"June 27, 2025",142.21,2.22,1.93,0.41,0.058,0.12,1.86,2,0.12,0.38
"June 26, 2025",139.08,2.13,1.95,0.39,0.057,0.12,1.85,1.91,0.13,0.38
"June 25, 2025",143.47,2.2,2,0.41,0.059,0.12,1.9,1.99,0.15,0.39
"June 24, 2025",145.84,2.32,2.1,0.42,0.061,0.13,1.99,2.07,0.12,0.41
"June 23, 2025",144.63,2.36,2.14,0.4,0.063,0.13,2,2.06,0.12,0.39
"June 22, 2025",131.57,2.18,2,0.35,0.056,0.12,1.8,1.85,0.1,0.36
"June 21, 2025",134.22,2.27,2.05,0.36,0.06,0.12,1.9,1.93,0.11,0.39
"June 20, 2025",139.98,2.44,2.12,0.38,0.063,0.12,1.98,2.04,0.12,0.43
"June 19, 2025",146.88,2.47,2.27,0.41,0.066,0.13,2.09,2.23,0.13,0.43
"June 18, 2025",146.39,2.29,2.29,0.41,0.067,0.13,2.1,2.06,0.14,0.44
"June 17, 2025",147.74,2.33,2.18,0.4,0.067,0.13,2.09,2.04,0.15,0.42
"June 16, 2025",151.58,2.42,2.18,0.42,0.069,0.13,2.21,2.17,0.16,0.45
"June 15, 2025",152.28,2.49,2.25,0.43,0.068,0.13,2.24,2.14,0.13,0.46
"June 14, 2025",144.7,2.49,1.95,0.41,0.063,0.13,2.21,2.06,0.12,0.45
"June 13, 2025",148.54,2.41,2.05,0.42,0.066,0.13,2.27,2.13,0.12,0.46
"June 12, 2025",152.76,2.7,1.95,0.43,0.059,0.13,2.24,2.18,0.12,0.48
"June 11, 2025",160.97,2.86,2.13,0.47,0.065,0.13,2.42,2.31,0.13,0.52
"June 10, 2025",164.98,2.99,2.23,0.5,0.063,0.13,2.58,2.48,0.14,0.51
"June 9, 2025",160.99,3,1.95,0.48,0.056,0.14,2.48,2.49,0.13,0.51
"June 8, 2025",152.5,2.93,1.86,0.46,0.053,0.14,2.36,2.26,0.11,0.49
"June 7, 2025",150.18,2.94,1.84,0.46,0.053,0.14,2.36,2.17,0.11,0.49
"June 6, 2025",148.13,2.9,1.81,0.45,0.053,0.14,2.36,2.15,0.11,0.47
